,Product_Title,Original Price,Discounted Price,Additional_Tags,Ratings,Gender,Category,Formulation
333,Nutrainix Super Green wholefood and Charge Vitamin C Tablets,1175,1175,Rising Products,5,Unisex,Energy-boosters,Tablet
334,Onelife Multi Women 40+ :Multivitamins For Womens 50 Years a...,999,999,Rising Products,4,Female,Energy-boosters,Tablet
336,Boldfit Boldpops Daily Multivitamin Gummies,999,999,Rising Products,5,Unisex,Energy-boosters,Others
338,Nutrainix Organic Ashwagandha And Organic Multivitamin With ...,2285,2285,Rising Products,5,Unisex,Energy-boosters,Capsule
339,Oziva Immunity Multivitamins Fizzy Drink To Strengthen Immun...,595,536,Rising Products,5,Unisex,Energy-boosters,Powder
340,Purayati Multivitamin For Senior Men - 90 Tablets,625,563,Rising Products,5,Male,Energy-boosters,Tablet
341,Hera - Women's Multivitamin - Wellness Supplement for Comple...,1000,1000,Rising Products,5,Female,Energy-boosters,Capsule
342,Simply Nutra Multivital MultiVitamin Sports 90 Tablets,1499,1499,Rising Products,5,Unisex,Energy-boosters,Tablet
343,Purayati Multivitamin For Women - 90 Tablets,590,575,Rising Products,4,Female,Energy-boosters,Tablet
344,OZiva Kids Superfood Brain Multi Gummies with Ashwagandha & ...,499,449,Rising Products,5,Unisex,Energy-boosters,Tablet
345,Purayati Multivitamin For Senior Women - 90 Tablets,615,554,Rising Products,5,Female,Energy-boosters,Tablet
347,Himalayan Organics Men's Multivitamin Sports Tablets,899,699,Rising Products,5,Male,Energy-boosters,Tablet
348,Simply Nutra Multivitamin Gummies for Kids,785,499,Rising Products,5,Unisex,Energy-boosters,Tablet
349,Nutrainix Complete Multivitamin Vegetarian Gummies,990,990,Rising Products,5,Unisex,Energy-boosters,Tablet
350,"Zingavita Daily Multivitamins Effervescent Tablets For Hair,...",798,798,Rising Products,5,Female,Energy-boosters,Tablet
354,Saffola FITTIFY The Perfekt Gummies For Bone Health - Mango ...,499,499,Rising Products,5,Unisex,Energy-boosters,Capsule
355,Nutrainix Certified Organic & Plant-Based Iron Supplement Ca...,1150,1150,Rising Products,4,Unisex,Energy-boosters,Capsule
356,Nutrainix Charge Vitamin C And Vitalize Multivitamin - Effer...,720,720,Rising Products,5,Unisex,Energy-boosters,Tablet
357,Himalayan Organics Superfood Multivitamin Supplement - Lemon...,395,357,Rising Products,4,Unisex,Energy-boosters,Tablet
